Tempo,Media Movel
1899.0417,
1899.125,
1899.2083,
1899.2917,
1899.375,
1899.4583,
1899.5417,
1899.625,
1899.7083,
1899.7917,
1899.875,
1899.9583,6937.833333333333
1900.0417,6945.0
1900.125,6954.916666666667
1900.2083,6966.833333333333
1900.2917,6970.666666666667
1900.375,6982.333333333333
1900.4583,6993.5
1900.5417,6997.083333333333
1900.625,6997.333333333333
1900.7083,6997.333333333333
1900.7917,7002.166666666667
1900.875,6988.166666666667
1900.9583,6987.833333333333
1901.0417,6984.0
1901.125,6979.666666666667
1901.2083,6970.5
1901.2917,6962.333333333333
1901.375,6955.416666666667
1901.4583,6944.75
1901.5417,6940.166666666667
1901.625,6939.666666666667
1901.7083,6943.666666666667
1901.7917,6934.75
1901.875,6935.25
1901.9583,6921.833333333333
1902.0417,6911.916666666667
1902.125,6925.75
1902.2083,6930.833333333333
1902.2917,6937.416666666667
1902.375,6939.0
1902.4583,6941.5
1902.5417,6944.75
1902.625,6948.083333333333
1902.7083,6947.083333333333
1902.7917,6954.666666666667
1902.875,6959.0
1902.9583,6974.25
1903.0417,6988.5
1903.125,6973.666666666667
1903.2083,6973.416666666667
1903.2917,6972.916666666667
1903.375,6967.583333333333
1903.4583,6967.583333333333
1903.5417,6966.583333333333
1903.625,6965.0
1903.7083,6963.75
1903.7917,6961.5
1903.875,6963.75
1903.9583,6953.083333333333
1904.0417,6942.166666666667
1904.125,6963.0
1904.2083,6973.166666666667
1904.2917,6979.583333333333
1904.375,6981.333333333333
1904.4583,6979.083333333333
1904.5417,6981.416666666667
1904.625,6980.416666666667
1904.7083,6980.666666666667
1904.7917,6978.083333333333
1904.875,6981.416666666667
1904.9583,6988.0
1905.0417,6997.083333333333
1905.125,6987.416666666667
1905.2083,6985.916666666667
1905.2917,6985.333333333333
1905.375,6989.166666666667
1905.4583,6989.666666666667
1905.5417,6989.083333333333
1905.625,6992.416666666667
1905.7083,6997.0
1905.7917,6998.833333333333
1905.875,6985.583333333333
1905.9583,6982.25
1906.0417,6982.25
1906.125,6984.833333333333
1906.2083,6980.25
1906.2917,6977.5
1906.375,6980.0
1906.4583,6991.916666666667
1906.5417,6994.75
1906.625,6996.0
1906.7083,6991.916666666667
1906.7917,6987.333333333333
1906.875,6987.583333333333
1906.9583,6990.416666666667
1907.0417,6988.666666666667
1907.125,6981.5
1907.2083,6984.5
1907.2917,6989.333333333333
1907.375,6990.666666666667
1907.4583,6987.666666666667
1907.5417,6989.916666666667
1907.625,6991.416666666667
1907.7083,6997.25
1907.7917,7001.583333333333
1907.875,7002.166666666667
1907.9583,7008.5
1908.0417,7015.333333333333
1908.125,7013.083333333333
1908.2083,7004.5
1908.2917,6998.916666666667
1908.375,6996.583333333333
1908.4583,6992.0
1908.5417,6990.25
1908.625,6990.5
1908.7083,6986.75
1908.7917,6986.25
1908.875,6991.25
1908.9583,6980.833333333333
1909.0417,6984.666666666667
1909.125,7001.416666666667
1909.2083,7000.666666666667
1909.2917,6994.833333333333
1909.375,6989.0
1909.4583,6988.5
1909.5417,6987.25
1909.625,6983.5
1909.7083,6983.75
1909.7917,6987.5
1909.875,6992.916666666667
1909.9583,6995.25
1910.0417,6987.083333333333
1910.125,6968.333333333333
1910.2083,6969.333333333333
1910.2917,6974.416666666667
1910.375,6978.5
1910.4583,6978.5
1910.5417,6975.666666666667
1910.625,6971.583333333333
1910.7083,6967.5
1910.7917,6963.5
1910.875,6956.833333333333
1910.9583,6951.5
1911.0417,6948.25
1911.125,6946.416666666667
1911.2083,6942.583333333333
1911.2917,6940.0
1911.375,6941.25
1911.4583,6939.416666666667
1911.5417,6942.25
1911.625,6944.75
1911.7083,6948.833333333333
1911.7917,6953.083333333333
1911.875,6946.5
1911.9583,6943.416666666667
1912.0417,6945.416666666667
1912.125,6944.166666666667
1912.2083,6943.166666666667
1912.2917,6943.916666666667
1912.375,6940.916666666667
1912.4583,6941.666666666667
1912.5417,6939.916666666667
1912.625,6939.666666666667
1912.7083,6937.583333333333
1912.7917,6935.083333333333
1912.875,6943.75
1912.9583,6944.75
1913.0417,6940.416666666667
1913.125,6936.333333333333
1913.2083,6933.5
1913.2917,6937.833333333333
1913.375,6935.25
1913.4583,6939.083333333333
1913.5417,6939.083333333333
1913.625,6941.916666666667
1913.7083,6943.5
1913.7917,6935.583333333333
1913.875,6936.833333333333
1913.9583,6943.666666666667
1914.0417,6969.583333333333
1914.125,6978.75
1914.2083,6984.583333333333
1914.2917,6988.666666666667
1914.375,6995.25
1914.4583,6994.75
1914.5417,6995.25
1914.625,6994.25
1914.7083,6995.25
1914.7917,7010.75
1914.875,7003.916666666667
1914.9583,7007.5
1915.0417,6987.416666666667
1915.125,7002.416666666667
1915.2083,7005.75
1915.2917,7008.0
1915.375,7014.833333333333
1915.4583,7011.25
1915.5417,7014.0
1915.625,7017.5
1915.7083,7020.75
1915.7917,7014.416666666667
1915.875,7022.0
1915.9583,7026.333333333333
1916.0417,7026.666666666667
1916.125,7013.916666666667
1916.2083,7019.0
1916.2917,7014.166666666667
1916.375,7006.583333333333
1916.4583,7008.166666666667
1916.5417,7010.5
1916.625,7011.5
1916.7083,7010.75
1916.7917,7002.666666666667
1916.875,6989.75
1916.9583,6981.583333333333
1917.0417,6966.583333333333
1917.125,6956.25
1917.2083,6942.5
1917.2917,6941.5
1917.375,6934.666666666667
1917.4583,6932.083333333333
1917.5417,6928.75
1917.625,6922.416666666667
1917.7083,6919.666666666667
1917.7917,6918.083333333333
1917.875,6919.333333333333
1917.9583,6921.916666666667
1918.0417,6933.833333333333
1918.125,6948.0
1918.2083,6962.5
1918.2917,6962.25
1918.375,6969.333333333333
1918.4583,6974.166666666667
1918.5417,6975.666666666667
1918.625,6980.25
1918.7083,6984.833333333333
1918.7917,6998.333333333333
1918.875,7010.5
1918.9583,7011.75
1919.0417,7019.083333333333
1919.125,7021.916666666667
1919.2083,7017.583333333333
1919.2917,7020.166666666667
1919.375,7021.416666666667
1919.4583,7018.166666666667
1919.5417,7014.666666666667
1919.625,7011.916666666667
1919.7083,7009.083333333333
1919.7917,6999.166666666667
1919.875,6988.5
1919.9583,6981.166666666667
1920.0417,6964.166666666667
1920.125,6944.833333333333
1920.2083,6943.583333333333
1920.2917,6932.916666666667
1920.375,6924.333333333333
1920.4583,6922.75
1920.5417,6922.75
1920.625,6921.916666666667
1920.7083,6923.916666666667
1920.7917,6937.666666666667
1920.875,6940.5
1920.9583,6954.416666666667
1921.0417,6967.416666666667
1921.125,6977.833333333333
1921.2083,6977.083333333333
1921.2917,6978.833333333333
1921.375,6982.083333333333
1921.4583,6986.916666666667
1921.5417,6984.833333333333
1921.625,6983.833333333333
1921.7083,6978.75
1921.7917,6973.166666666667
