Lag,Autocorrelacao
0,1.0
1,0.6625577668330767
2,0.7165448001890208
3,0.6032368875767704
4,0.5061800812530198
5,0.47474816963286126
6,0.33604178449989475
7,0.31017029604172064
8,0.23757292436371596
9,0.1958605541185154
10,0.15187139860523924
11,0.1395765907138022
12,-0.0030481217078611334
13,0.01174439426396175
14,-0.06558827602615507
15,-0.07950614271551852
16,-0.21738274063198146
17,-0.1966651861197412
18,-0.24995428783460302
19,-0.2841893894812508
20,-0.25892599260959615
